250
(0.056001, 0.622558, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.064001, 0.694703, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.072001, 0.760451, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.080001, 0.819196, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.088001, 0.870397, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.096001, 0.913582, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.104001, 0.948354, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.112001, 0.974393, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.120001, 0.991459, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.128001, 0.999395, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.136001, 0.998127, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.144001, 0.987668, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.152001, 0.968113, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.160001, 0.939643, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.168001, 0.902520, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.176001, 0.857085, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.184001, 0.803758, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.192001, 0.743029, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.200001, 0.675457, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.208001, 0.601666, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.216001, 0.522333, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.224001, 0.438191, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.232001, 0.350013, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.240001, 0.258612, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.248001, 0.164829, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.256001, 0.069529, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.264001, -0.026412, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.272001, -0.122109, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.280001, -0.216682, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.288001, -0.309260, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.296001, -0.398989, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.304001, -0.485044, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.312001, -0.566633, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.320001, -0.643004, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.328001, -0.713453, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.336001, -0.777332, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.344000, -0.834053, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.352000, -0.883093, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.360000, -0.924000, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.368000, -0.956399, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.376000, -0.979990, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.384000, -0.994557, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.392000, -0.999965, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.400000, -0.996164, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.408000, -0.983190, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.416000, -0.961162, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.424000, -0.930282, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.432000, -0.890836, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.440000, -0.843186, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.448000, -0.787771, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.456000, -0.725102, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.464000, -0.655755, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.472000, -0.580369, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.480000, -0.499639, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.488000, -0.414308, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.496000, -0.325162, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.504000, -0.233020, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.512000, -0.138733, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.520000, -0.043168, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.528000, 0.052793, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
