3750
(-4.6,-0.199999,1.90962) (-0.196139, -0.163644, 0.966825) (0, 0)
(-4.2,-0.599999,1.92188) (-0.19436, -0.167612, 0.966504) (0, 0)
(-4.2,-0.199999,1.83708) (0.435677, 0.458445, 0.774606) (0, 0)
(-4.6,-0.199999,1.90962) (-0.196139, -0.163644, 0.966825) (0, 0)
(-4.2,-0.199999,1.83708) (0.435677, 0.458445, 0.774606) (0, 0)
(-4.6,0.200001,1.82419) (0.431543, 0.458748, 0.776737) (0, 0)
(-4.6,0.200001,1.82419) (0.431543, 0.458748, 0.776737) (0, 0)
(-4.2,-0.199999,1.83708) (0.435677, 0.458445, 0.774606) (0, 0)
(-4.2,0.200001,1.46102) (0.609125, 0.621784, 0.492292) (0, 0)
(-4.6,0.200001,1.82419) (0.431543, 0.458748, 0.776737) (0, 0)
(-4.2,0.200001,1.46102) (0.609125, 0.621784, 0.492292) (0, 0)
(-4.6,0.600001,1.44984) (0.606828, 0.62176, 0.495152) (0, 0)
(-4.6,0.600001,1.44984) (0.606828, 0.62176, 0.495152) (0, 0)
(-4.2,0.200001,1.46102) (0.609125, 0.621784, 0.492292) (0, 0)
(-4.2,0.600001,0.853745) (0.651097, 0.657318, 0.379481) (0, 0)
(-4.6,0.600001,1.44984) (0.606828, 0.62176, 0.495152) (0, 0)
(-4.2,0.600001,0.853745) (0.651097, 0.657318, 0.379481) (0, 0)
(-4.6,1,0.846671) (0.649792, 0.65704, 0.382189) (0, 0)
(-4.6,1,0.846671) (0.649792, 0.65704, 0.382189) (0, 0)
(-4.2,0.600001,0.853745) (0.651097, 0.657318, 0.379481) (0, 0)
(-4.2,1,0.112475) (0.66325, 0.664057, 0.345148) (0, 0)
(-4.6,1,0.846671) (0.649792, 0.65704, 0.382189) (0, 0)
(-4.2,1,0.112475) (0.66325, 0.664057, 0.345148) (0, 0)
(-4.6,1.4,0.111471) (0.662475, 0.663405, 0.34788) (0, 0)
(-4.6,1.4,0.111471) (0.662475, 0.663405, 0.34788) (0, 0)
(-4.2,1,0.112475) (0.66325, 0.664057, 0.345148) (0, 0)
(-4.2,1.4,-0.644223) (0.661514, 0.656277, 0.362906) (0, 0)
(-4.6,1.4,0.111471) (0.662475, 0.663405, 0.34788) (0, 0)
(-4.2,1.4,-0.644223) (0.661514, 0.656277, 0.362906) (0, 0)
(-4.6,1.8,-0.638068) (0.661043, 0.655066, 0.365939) (0, 0)
(-4.6,1.8,-0.638068) (0.661043, 0.655066, 0.365939) (0, 0)
(-4.2,1.4,-0.644223) (0.661514, 0.656277, 0.362906) (0, 0)
(-4.2,1.8,-1.29567) (0.639929, 0.626073, 0.44556) (0, 0)
(-4.6,1.8,-0.638068) (0.661043, 0.655066, 0.365939) (0, 0)
(-4.2,1.8,-1.29567) (0.639929, 0.626073, 0.44556) (0, 0)
(-4.6,2.2,-1.28247) (0.639531, 0.623861, 0.449218) (0, 0)
(-4.6,2.2,-1.28247) (0.639531, 0.623861, 0.449218) (0, 0)
(-4.2,1.8,-1.29567) (0.639929, 0.626073, 0.44556) (0, 0)
(-4.2,2.2,-1.73864) (0.545175, 0.51576, 0.66089) (0, 0)
(-4.6,2.2,-1.28247) (0.639531, 0.623861, 0.449218) (0, 0)
(-4.2,2.2,-1.73864) (0.545175, 0.51576, 0.66089) (0, 0)
(-4.6,2.6,-1.71983) (0.544374, 0.511441, 0.664895) (0, 0)
(-4.6,2.6,-1.71983) (0.544374, 0.511441, 0.664895) (0, 0)
(-4.2,2.2,-1.73864) (0.545175, 0.51576, 0.66089) (0, 0)
(-4.2,2.6,-1.90393) (0.0872124, 0.0356558, 0.995551) (0, 0)
(-4.6,2.6,-1.71983) (0.544374, 0.511441, 0.664895) (0, 0)
(-4.2,2.6,-1.90393) (0.0872124, 0.0356558, 0.995551) (0, 0)
(-4.6,3,-1.88212) (0.0892061, 0.0322475, 0.995491) (0, 0)
(-4.6,3,-1.88212) (0.0892061, 0.0322475, 0.995491) (0, 0)
(-4.2,2.6,-1.90393) (0.0872124, 0.0356558, 0.995551) (0, 0)
(-4.2,3,-1.76736) (-0.472743, -0.509344, 0.719085) (0, 0)
(-4.6,3,-1.88212) (0.0892061, 0.0322475, 0.995491) (0, 0)
(-4.2,3,-1.76736) (-0.472743, -0.509344, 0.719085) (0, 0)
(-4.6,3.4,-1.746) (-0.467706, -0.508114, 0.723237) (0, 0)
(-4.6,3.4,-1.746) (-0.467706, -0.508114, 0.723237) (0, 0)
(-4.2,3,-1.76736) (-0.472743, -0.509344, 0.719085) (0, 0)
(-4.2,3.4,-1.35332) (-0.612665, -0.632179, 0.474333) (0, 0)
(-4.6,3.4,-1.746) (-0.467706, -0.508114, 0.723237) (0, 0)
(-4.2,3.4,-1.35332) (-0.612665, -0.632179, 0.474333) (0, 0)
(-4.6,3.8,-1.33611) (-0.609848, -0.631354, 0.479038) (0, 0)
(-4.6,3.8,-1.33611) (-0.609848, -0.631354, 0.479038) (0, 0)
(-4.2,3.4,-1.35332) (-0.612665, -0.632179, 0.474333) (0, 0)
(-4.2,3.8,-0.730434) (-0.649942, -0.658798, 0.378893) (0, 0)
(-4.6,3.8,-1.33611) (-0.609848, -0.631354, 0.479038) (0, 0)
(-4.2,3.8,-0.730434) (-0.649942, -0.658798, 0.378893) (0, 0)
(-4.6,4.2,-0.720683) (-0.64823, -0.657953, 0.383269) (0, 0)
(-4.6,4.2,-0.720683) (-0.64823, -0.657953, 0.383269) (0, 0)
(-4.2,3.8,-0.730434) (-0.649942, -0.658798, 0.378893) (0, 0)
(-4.2,4.2,1.7774e-06) (-0.661123, -0.661123, 0.354729) (0, 0)
(-4.6,4.2,-0.720683) (-0.64823, -0.657953, 0.383269) (0, 0)
(-4.2,4.2,1.7774e-06) (-0.661123, -0.661123, 0.354729) (0, 0)
(-4.6,4.6,1.75255e-06) (-0.659938, -0.659938, 0.359114) (0, 0)
(-4.6,4.6,1.75255e-06) (-0.659938, -0.659938, 0.359114) (0, 0)
(-4.2,4.2,1.7774e-06) (-0.661123, -0.661123, 0.354729) (0, 0)
(-4.2,4.6,0.720686) (-0.657953, -0.64823, 0.383269) (0, 0)
(-4.6,4.6,1.75255e-06) (-0.659938, -0.659938, 0.359114) (0, 0)
(-4.2,4.6,0.720686) (-0.657953, -0.64823, 0.383269) (0, 0)
(-4.6,5,0.710155) (-0.656952, -0.646369, 0.3881) (0, 0)
(-4.6,5,0.710155) (-0.656952, -0.646369, 0.3881) (0, 0)
(-4.2,4.6,0.720686) (-0.657953, -0.64823, 0.383269) (0, 0)
(-4.2,5,1.31743) (-0.630301, -0.606825, 0.484236) (0, 0)
(-4.2,-5,-0.40934) (0.6578, 0.658279, 0.366016) (0, 0)
(-3.8,-5,-1.0811) (0.639894, 0.642085, 0.422212) (0, 0)
(-4.2,-4.6,-1.08249) (0.640771, 0.641502, 0.421768) (0, 0)
(-4.2,-4.6,-1.08249) (0.640771, 0.641502, 0.421768) (0, 0)
(-3.8,-5,-1.0811) (0.639894, 0.642085, 0.422212) (0, 0)
(-3.8,-4.6,-1.59173) (0.5747, 0.577652, 0.579688) (0, 0)
(-4.2,-4.6,-1.08249) (0.640771, 0.641502, 0.421768) (0, 0)
(-3.8,-4.6,-1.59173) (0.5747, 0.577652, 0.579688) (0, 0)
(-4.2,-4.2,-1.59275) (0.576301, 0.576301, 0.579443) (0, 0)
(-4.2,-4.2,-1.59275) (0.576301, 0.576301, 0.579443) (0, 0)
(-3.8,-4.6,-1.59173) (0.5747, 0.577652, 0.579688) (0, 0)
(-3.8,-4.2,-1.85575) (0.276837, 0.279566, 0.91935) (0, 0)
(-4.2,-4.2,-1.59275) (0.576301, 0.576301, 0.579443) (0, 0)
(-3.8,-4.2,-1.85575) (0.276837, 0.279566, 0.91935) (0, 0)
(-4.2,-3.8,-1.85575) (0.279566, 0.276837, 0.91935) (0, 0)
(-4.2,-3.8,-1.85575) (0.279566, 0.276837, 0.91935) (0, 0)
(-3.8,-4.2,-1.85575) (0.276837, 0.279566, 0.91935) (0, 0)
(-3.8,-3.8,-1.82719) (-0.37756, -0.37756, 0.845516) (0, 0)
(-4.2,-3.8,-1.85575) (0.279566, 0.276837, 0.91935) (0, 0)
(-3.8,-3.8,-1.82719) (-0.37756, -0.37756, 0.845516) (0, 0)
(-4.2,-3.4,-1.82602) (-0.374914, -0.379856, 0.845665) (0, 0)
(-4.2,-3.4,-1.82602) (-0.374914, -0.379856, 0.845665) (0, 0)
(-3.8,-3.8,-1.82719) (-0.37756, -0.37756, 0.845516) (0, 0)
(-3.8,-3.4,-1.5069) (-0.599281, -0.600558, 0.529332) (0, 0)
(-4.2,-3.4,-1.82602) (-0.374914, -0.379856, 0.845665) (0, 0)
(-3.8,-3.4,-1.5069) (-0.599281, -0.600558, 0.529332) (0, 0)
(-4.2,-3,-1.50498) (-0.597789, -0.601616, 0.529818) (0, 0)
(-4.2,-3,-1.50498) (-0.597789, -0.601616, 0.529818) (0, 0)
(-3.8,-3.4,-1.5069) (-0.599281, -0.600558, 0.529332) (0, 0)
(-3.8,-3,-0.942967) (-0.649119, -0.65031, 0.394642) (0, 0)
(-4.2,-3,-1.50498) (-0.597789, -0.601616, 0.529818) (0, 0)
(-3.8,-3,-0.942967) (-0.649119, -0.65031, 0.394642) (0, 0)
(-4.2,-2.6,-0.941158) (-0.648328, -0.650709, 0.395282) (0, 0)
(-4.2,-2.6,-0.941158) (-0.648328, -0.650709, 0.395282) (0, 0)
(-3.8,-3,-0.942967) (-0.649119, -0.65031, 0.394642) (0, 0)
(-3.8,-2.6,-0.22342) (-0.662559, -0.662933, 0.348621) (0, 0)
(-4.2,-2.6,-0.941158) (-0.648328, -0.650709, 0.395282) (0, 0)
(-3.8,-2.6,-0.22342) (-0.662559, -0.662933, 0.348621) (0, 0)
(-4.2,-2.2,-0.222849) (-0.662227, -0.66285, 0.349406) (0, 0)
